,title,rating,name,num_ratings,num_reviews,num_followers,synopsis,genre
30,The Alchemist,3.9,Paulo Coelho,"26,11,173","1,00,939","128,528 followers","Combining magic, mysticism, wisdom and wonder into an inspiring tale of self-discovery, The Alchemist has become a modern classic, selling millions of copies around the world and transforming the lives of countless readers across generations.

Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams. (less)",self-help
31,Grit: The Power of Passion and Perseverance,4.07,Angela Duckworth,"1,01,119","7,446","2,159 followers","In this must-read book for anyone striving to succeed, pioneering psychologist Angela Duckworth shows parents, educators, students, and business people both seasoned and new that the secret to outstanding achievement is not talent but a focused persistence called grit.

Why do some people succeed and others fail? Sharing new insights from her landmark research on grit, Angela Duckworth explains why talent is hardly a guarantor of success. Rather, other factors can be even more crucial such as identifying our passions and following through on our commitments.

Drawing on her own powerful story as the daughter of a scientist who frequently bemoaned her lack of smarts, Duckworth describes her winding path through teaching, business consulting, and neuroscience, which led to the hypothesis that what really drives success is not genius, but a special blend of passion and long-term perseverance. As a professor at the University of Pennsylvania, Duckworth created her own character lab and set out to test her theory.

Here, she takes readers into the field to visit teachers working in some of the toughest schools, cadets struggling through their first days at West Point, and young finalists in the National Spelling Bee. She also mines fascinating insights from history and shows what can be gleaned from modern experiments in peak performance. Finally, she shares what she's learned from interviewing dozens of high achievers; from JP Morgan CEO Jamie Dimon to the cartoon editor of The New Yorker to Seattle Seahawks Coach Pete Carroll.

Winningly personal, insightful, and even life-changing, Grit is a book about what goes through your head when you fall down, and how that not talent or luck makes all the difference. (less)",self-help
32,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",4.47,Bessel van der Kolk,"98,684","8,492","1,602 followers","A pioneering researcher and one of the world’s foremost experts on traumatic stress offers a bold new paradigm for healing.
 
Trauma is a fact of life. Veterans and their families deal with the painful aftermath of combat; one in five Americans has been molested; one in four grew up with alcoholics; one in three couples have engaged in physical violence. Such experiences inevitably leave traces on minds, emotions, and even on biology. Sadly, trauma sufferers frequently pass on their stress to their partners and children.
 
Renowned trauma expert Bessel van der Kolk has spent over three decades working with survivors. In The Body Keeps the Score, he transforms our understanding of traumatic stress, revealing how it literally rearranges the brain’s wiring—specifically areas dedicated to pleasure, engagement, control, and trust. He shows how these areas can be reactivated through innovative treatments including neurofeedback, mindfulness techniques, play, yoga, and other therapies. Based on Dr. van der Kolk’s own research and that of other leading specialists, The Body Keeps the Score offers proven alternatives to drugs and talk therapy—and a way to reclaim lives. (less)",self-help
33,A New Earth: Awakening to Your Life's Purpose,4.12,Eckhart Tolle,"1,83,464","8,556","8,207 followers","The highly anticipated follow-up to the 2,000,000 copy bestselling inspirational book, ""The Power of Now""
With his bestselling spiritual guide ""The Power of Now,"" Eckhart Tolle inspired millions of readers to discover the freedom and joy of a life lived ?in the now.? In ""A New Earth,"" Tolle expands on these powerful ideas to show how transcending our ego-based state of consciousness is not only essential to personal happiness, but also the key to ending conflict and suffering throughout the world. Tolle describes how our attachment to the ego creates the dysfunction that leads to anger, jealousy, and unhappiness, and shows readers how to awaken to a new state of consciousness and follow the path to a truly fulfilling existence. ""The Power of Now"" was a question-and-answer handbook. ""A New Earth"" has been written as a traditional narrative, offering anecdotes and philosophies in a way that is accessible to all. Illuminating, enlightening, and uplifting, ""A New Earth"" is a profoundly spiritual manifesto for a better way of life?and for building a better world. (less)",self-help
34,Digital Minimalism: Choosing a Focused Life in a Noisy World,4.07,Cal Newport,"61,908","6,639","6,812 followers","Minimalism is the art of knowing how much is just enough. Digital minimalism applies this idea to our personal technology. It's the key to living a focused life in an increasingly noisy world.

In this timely and enlightening book, the bestselling author of Deep Work introduces a philosophy for technology use that has already improved countless lives.

Digital minimalists are all around us. They're the calm, happy people who can hold long conversations without furtive glances at their phones. They can get lost in a good book, a woodworking project, or a leisurely morning run. They can have fun with friends and family without the obsessive urge to document the experience. They stay informed about the news of the day, but don't feel overwhelmed by it. They don't experience ""fear of missing out"" because they already know which activities provide them meaning and satisfaction.

Now, Newport gives us a name for this quiet movement, and makes a persuasive case for its urgency in our tech-saturated world. Common sense tips, like turning off notifications, or occasional rituals like observing a digital sabbath, don't go far enough in helping us take back control of our technological lives, and attempts to unplug completely are complicated by the demands of family, friends and work. What we need instead is a thoughtful method to decide what tools to use, for what purposes, and under what conditions.

Drawing on a diverse array of real-life examples, from Amish farmers to harried parents to Silicon Valley programmers, Newport identifies the common practices of digital minimalists and the ideas that underpin them. He shows how digital minimalists are rethinking their relationship to social media, rediscovering the pleasures of the offline world, and reconnecting with their inner selves through regular periods of solitude. He then shares strategies for integrating these practices into your life, starting with a thirty-day ""digital declutter"" process that has already helped thousands feel less overwhelmed and more in control.

Technology is intrinsically neither good nor bad. The key is using it to support your goals and values, rather than letting it use you. This book shows the way. (less)",self-help
35,Blink: The Power of Thinking Without Thinking,3.95,Malcolm Gladwell,"5,53,207","17,173","32,046 followers","Drawing on cutting-edge neuroscience and psychology and displaying all of the brilliance that made The Tipping Point a classic, Blink changes the way you'll understand every decision you make. Never again will you think about thinking the same way.

Malcolm Gladwell redefined how we understand the world around us. Now, in Blink, he revolutionizes the way we understand the world within. Blink is a book about how we think without thinking, about choices that seem to be made in an instant - in the blink of an eye - that actually aren't as simple as they seem. Why are some people brilliant decision makers, while others are consistently inept? Why do some people follow their instincts and win, while others end up stumbling into error? How do our brains really work - in the office, in the classroom, in the kitchen, and in the bedroom? And why are the best decisions often those that are impossible to explain to others?

In Blink we meet the psychologist who has learned to predict whether a marriage will last, based on a few minutes of observing a couple; the tennis coach who knows when a player will double-fault before the racket even makes contact with the ball; the antiquities experts who recognize a fake at a glance. Here, too, are great failures of ""blink"": the election of Warren Harding; ""New Coke""; and the shooting of Amadou Diallo by police. Blink reveals that great decision makers aren't those who process the most information or spend the most time deliberating, but those who have perfected the art of ""thin-slicing"" - filtering the very few factors that matter from an overwhelming number of variables. (less)",self-help
36,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,3.87,Brian Tracy,"62,341","5,042","3,910 followers","The legendary Eat That Frog! (more than 450,000 copies sold and translated into 23 languages) provides the 21 most effective methods for conquering procrastination and accomplishing more. This new edition is revised and updated throughout, and includes brand new information on how to keep technology from dominating our time.",self-help
37,The Untethered Soul: The Journey Beyond Yourself,4.21,Michael A. Singer,"79,588","5,997","1,662 followers","What would it be like to free yourself from limitations and soar beyond your boundaries? What can you do each day to discover inner peace and serenity? The Untethered Soul offers simple yet profound answers to these questions.

Whether this is your first exploration of inner space, or you’ve devoted your life to the inward journey, this book will transform your relationship with yourself and the world around you. You’ll discover what you can do to put an end to the habitual thoughts and emotions that limit your consciousness. By tapping into traditions of meditation and mindfulness, author and spiritual teacher Michael A. Singer shows how the development of consciousness can enable us all to dwell in the present moment and let go of painful thoughts and memories that keep us from achieving happiness and self-realization.

Copublished with the Institute of Noetic Sciences (IONS) The Untethered Soul begins by walking you through your relationship with your thoughts and emotions, helping you uncover the source and fluctuations of your inner energy. It then delves into what you can do to free yourself from the habitual thoughts, emotions, and energy patterns that limit your consciousness. Finally, with perfect clarity, this book opens the door to a life lived in the freedom of your innermost being. (less)",self-help
38,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,4.13,Brené Brown,"92,409","7,402","45,571 followers","#1 NEW YORK TIMES BESTSELLER - A timely and important book that challenges everything we think we know about cultivating true belonging in our communities, organizations, and culture, from the #1 bestselling author of Rising Strong, Daring Greatly, and The Gifts of Imperfection

REESE’S BOOK CLUB PICK

""True belonging doesn't require us to change who we are. It requires us to be who we are."" Social scientist Brené Brown, PhD, LMSW, has sparked a global conversation about the experiences that bring meaning to our lives--experiences of courage, vulnerability, love, belonging, shame, and empathy. In Braving the Wilderness, Brown redefines what it means to truly belong in an age of increased polarization. With her trademark mix of research, storytelling, and honesty, Brown will again change the cultural conversation while mapping a clear path to true belonging.

Brown argues that we're experiencing a spiritual crisis of disconnection, and introduces four practices of true belonging that challenge everything we believe about ourselves and each other. She writes, ""True belonging requires us to believe in and belong to ourselves so fully that we can find sacredness both in being a part of something and in standing alone when necessary. But in a culture that's rife with perfectionism and pleasing, and with the erosion of civility, it's easy to stay quiet, hide in our ideological bunkers, or fit in rather than show up as our true selves and brave the wilderness of uncertainty and criticism. But true belonging is not something we negotiate or accomplish with others; it's a daily practice that demands integrity and authenticity. It's a personal commitment that we carry in our hearts."" Brown offers us the clarity and courage we need to find our way back to ourselves and to each other. And that path cuts right through the wilderness. Brown writes, ""The wilderness is an untamed, unpredictable place of solitude and searching. It is a place as dangerous as it is breathtaking, a place as sought after as it is feared. But it turns out to be the place of true belonging, and it's the bravest and most sacred place you will ever stand."" (less)",self-help
39,Rising Strong: The Reckoning. The Rumble. The Revolution.,4.24,Brené Brown,"73,743","4,586","45,569 followers","Social scientist Brené Brown has ignited a global conversation on courage, vulnerability, shame, and worthiness. Her pioneering work uncovered a profound truth: Vulnerability—the willingness to show up and be seen with no guarantee of outcome—is the only path to more love, belonging, creativity, and joy. But living a brave life is not always easy: We are, inevitably, going to stumble and fall.

It is the rise from falling that Brown takes as her subject in Rising Strong. As a grounded theory researcher, Brown has listened as a range of people—from leaders in Fortune 500 companies and the military to artists, couples in long-term relationships, teachers, and parents—shared their stories of being brave, falling, and getting back up. She asked herself, What do these people with strong and loving relationships, leaders nurturing creativity, artists pushing innovation, and clergy walking with people through faith and mystery have in common? The answer was clear: They recognize the power of emotion and they’re not afraid to lean in to discomfort.

Walking into our stories of hurt can feel dangerous. But the process of regaining our footing in the midst of struggle is where our courage is tested and our values are forged. Our stories of struggle can be big ones, like the loss of a job or the end of a relationship, or smaller ones, like a conflict with a friend or colleague. Regardless of magnitude or circumstance, the rising strong process is the same: We reckon with our emotions and get curious about what we’re feeling; we rumble with our stories until we get to a place of truth; and we live this process, every day, until it becomes a practice and creates nothing short of a revolution in our lives. Rising strong after a fall is how we cultivate wholeheartedness. It’s the process, Brown writes, that teaches us the most about who we are. (less)",self-help
40,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!",4.14,Tony Robbins,"65,834","1,969",714 followers,"Wake up and take control of your life! From the bestselling author of Inner Strength, Unlimited Power, and MONEY Master the Game, Anthony Robbins, the nation's leader in the science of peak performance, shows you his most effective strategies and techniques for mastering your emotions, your body, your relationships, your finances, and your life.

The acknowledged expert in the psychology of change, Anthony Robbins provides a step-by-step program teaching the fundamental lessons of self-mastery that will enable you to discover your true purpose, take control of your life, and harness the forces that shape your destiny. (less)",self-help
41,Can't Hurt Me: Master Your Mind and Defy the Odds,4.36,David Goggins,"1,33,581","9,160","2,524 followers","For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a U.S. Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force Tactical Air Controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him ""The Fittest (Real) Man in America.""

In Can't Hurt Me, he shares his astonishing life story and reveals that most of us tap into only 40% of our capabilities. Goggins calls this The 40% Rule, and his story illuminates a path that anyone can follow to push past pain, demolish fear, and reach their full potential. (less)",self-help
42,"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life",4.19,Henry Cloud,"66,258","4,224","1,603 followers","Having clear boundaries is essential to a healthy, balanced lifestyle. A boundary is a personal property line that marks those things for which we are responsible. In other words, boundaries define who we are and who we are not. Boundaries impact all areas of our lives: Physical boundaries help us determine who may touch us and under what circumstances -- Mental boundaries give us the freedom to have our own thoughts and opinions -- Emotional boundaries help us to deal with our own emotions and disengage from the harmful, manipulative emotions of others -- Spiritual boundaries help us to distinguish God's will from our own and give us renewed awe for our Creator -- Often, Christians focus so much on being loving and unselfish that they forget their own limits and limitations. When confronted with their lack of boundaries, they ask: - Can I set limits and still be a loving person? - What are legitimate boundaries? - What if someone is upset or hurt by my boundaries? - How do I answer someone who wants my time, love, energy, or money? - Aren't boundaries selfish? - Why do I feel guilty or afraid when I consider setting boundaries? Dr. Henry Cloud and Dr. John Townsend offer biblically-based answers to these and other tough questions, showing us how to set healthy boundaries with our parents, spouses, children, friends, co-workers, and even ourselves. (less)",self-help
43,Don't Sweat the Small Stuff ... and It's All Small Stuff: Simple Ways to Keep the Little Things From Taking Over Your Life,3.99,Richard Carlson,"89,444","2,351",700 followers,"Don't Sweat the Small Stuff... and it's all small stuff is a book that shows you how to keep from letting the little things in life drive you crazy. In thoughtful and insightful language, author Richard Carlson reveals ways to calm down in the midst of your incredibly hurried, stress-filled life. You can learn to put things in perspective by making the small daily changes he suggests,including advice such as ""Think of your problems as potential teachers""; ""Remember that when you die, your 'In' box won't be empty""; and ""Do one thing at a time."" You should also try to live in the present moment, let others have the glory at times, and lower your tolerance to stress. You can write down your most stubborn positions and see if you can soften them, learn to trust your intuitions, and live each day as if it might be your last. With gentle, supportive suggestions, Dr.Carlson reveals ways to make your actions more peaceful and caring, with the added benefit of making your life more calm and stress-free. (less)",self-help
44,Flow: The Psychology of Optimal Experience,4.09,Mihaly Csikszentmihalyi,"70,746","3,612","2,023 followers","Psychologist Mihaly Csikszentmihalyi's investigations of ""optimal experience"" have revealed that what makes an experience genuinely satisfying is a state of consciousness called flow. During flow, people typically experience deep enjoyment, creativity, and a total involvement with life. Csikszentmihalyi demonstrates the ways this positive state can be controlled, not just left to chance. Flow: The Psychology of Optimal Experience teaches how, by ordering the information that enters our consciousness, we can discover true happiness, unlock our potential, and greatly improve the quality of our lives. (less)",self-help
45,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,3.88,Robin S. Sharma,"1,38,076","8,381","5,400 followers","Wisdom to Create a Life of Passion, Purpose, and Peace

This inspiring tale provides a step-by-step approach to living with greater courage, balance, abundance, and joy. A wonderfully crafted fable, The Monk Who Sold His Ferrari tells the extraordinary story of Julian Mantle, a lawyer forced to confront the spiritual crisis of his out-of-balance life. On a life-changing odyssey to an ancient culture, he discovers powerful, wise, and practical lessons that teach us to:


Develop Joyful Thoughts, Follow Our Life's Mission and Calling, Cultivate Self-Discipline and Act Courageously, Value Time as Our Most Important Commodity, Nourish Our Relationships, and Live Fully, One Day at a Time. (less)",self-help
46,The Miracle Morning: The Not-So-Obvious Secret Guaranteed to Transform Your Life: Before 8AM,3.91,Hal Elrod,"65,068","5,770","1,141 followers","What if you could miraculously wake up tomorrow and any—or every area of your life was transformed? What would be different? Would you be happier? Healthier? More successful? In better shape? Would you have more energy? Less Stress? More Money? Better relationships? Which of your problems would be solved?

What if I told you that there is a ""not-so-obvious"" secret that is guaranteed to transform any—or literally every area of your life, faster than you ever thought possible? What if I told you it would only take 6 minutes a day?

Enter The Miracle Morning. What’s now being practiced by thousands of people around the world could perhaps be the simplest approach to creating the life you’ve always wanted. It’s been right there in front of us, but this book has finally brought it to life.

Are you ready? The next chapter of your life—the most extraordinary life you've ever imagined—is about to begin.

YOU DESERVE AN EXTRAORDINARY LIFE. IT’S TIME TO WAKE UP TO YOUR FULL POTENTIAL (less)",self-help
47,The Power of Positive Thinking,4.16,Norman Vincent Peale,"99,898","1,774",980 followers,"""This book is written with the sole objective of helping the reader achieve a happy, satisfying, and worthwhile life.""
-- Norman Vincent Peale
The precursor to The Secret, The Power of Positive Thinking has helped millions of men and women to achieve fulfillment in their lives. In this phenomenal bestseller, Dr. Peale demonstrates the power of faith in action. With the practical techniques outlined in this book, you can energize your life -- and give yourself the initiative needed to carry out your ambitions and hopes. You'll learn how to:
Expect the best and get it
Believe in yourself and in everything you do
Develop the power to reach your goals
Break the worry habit and achieve a relaxed life
Improve your personal and professional relationships
Assume control over your circumstances
Be kind to yourself
(less)",self-help
48,Better Than Before: Mastering the Habits of Our Everyday Lives,3.82,Gretchen Rubin,"39,012","3,824","68,474 followers","New York Times Bestseller
Washington Post Bestseller
 
The author of the blockbuster New York Times bestsellers, The Happiness Project and Happier at Home, tackles the critical question: How do we change? 
 
Gretchen Rubin's answer: through habits. Habits are the invisible architecture of everyday life. It takes work to make a habit, but once that habit is set, we can harness the energy of habits to build happier, stronger, more productive lives.
 
So if habits are a key to change, then what we really need to know is: How do we change our habits?
 
Better than Before answers that question. It presents a practical, concrete framework to allow readers to understand their habits—and to change them for good. Infused with Rubin’s compelling voice, rigorous research, and easy humor, and packed with vivid stories of lives transformed, Better than Before explains the (sometimes counter-intuitive) core principles of habit formation.
 
Along the way, Rubin uses herself as guinea pig, tests her theories on family and friends, and answers readers’ most pressing questions—oddly, questions that other writers and researchers tend to ignore: 

• Why do I find it tough to create a habit for something I love to do?
• Sometimes I can change a habit overnight, and sometimes I can’t change a habit, no matter how hard I try. Why?
• How quickly can I change a habit?
• What can I do to make sure I stick to a new habit?
• How can I help someone else change a habit?
• Why can I keep habits that benefit others, but can’t make habits that are just for me?

Whether readers want to get more sleep, stop checking their devices, maintain a healthy weight, or finish an important project, habits make change possible. Reading just a few chapters of Better Than Before will make readers eager to start work on their own habits—even before they’ve finished the book. (less)",self-help
49,"The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It",4.12,Kelly McGonigal,"30,183","2,019","1,462 followers","The first book to explain the new science of self-control and how it can be harnessed to improve our health, happiness, and productivity.

After years of watching her students struggling with their choices, health psychologist Kelly McGonigal, Ph.D., realized that much of what people believe about willpower is actually sabotaging their success. Committed to sharing what the scientific community already knew about self-control, McGonigal created a course called ""The Science of Willpower"" for Stanford University's Continuing Studies Program. The course was an instant hit and spawned the hugely successful Psychology Today blog with the same name.

Informed by the latest research and combining cutting-edge insights from psychology, economics, neuroscience, and medicine, McGonigal's book explains exactly what willpower is, how it works, and why it matters. Readers will learn:

Willpower is a mind-body response, not a virtue. It is a biological function that can be improved through mindfulness, exercise, nutrition, and sleep. People who have better control of their attention, emotions, and actions are healthier, happier, have more satisfying relationships, and make more money. Willpower is not an unlimited resource. Too much self-control can actually be bad for your health. Temptation and stress hijack the brain's systems of self-control, and that the brain can be trained for greater willpower.

In the groundbreaking tradition of Getting Things Done, The Willpower Instinct combines life-changing prescriptive advice and complementary exercises to help readers with goals ranging from a healthier life to more patient parenting, from greater productivity at work to finally finishing the basement. (less)",self-help
50,Everything is F*cked: A Book About Hope,3.72,Mark Manson,"65,208","5,518","14,152 followers","From the author of the international mega-bestseller The Subtle Art of Not Giving A F*ck comes a counterintuitive guide to the problems of hope.

We live in an interesting time. Materially, everything is the best it’s ever been—we are freer, healthier and wealthier than any people in human history. Yet, somehow everything seems to be irreparably and horribly f*cked—the planet is warming, governments are failing, economies are collapsing, and everyone is perpetually offended on Twitter. At this moment in history, when we have access to technology, education and communication our ancestors couldn’t even dream of, so many of us come back to an overriding feeling of hopelessness.

What’s going on? If anyone can put a name to our current malaise and help fix it, it’s Mark Manson. In 2016, Manson published The Subtle Art of Not Giving A F*ck, a book that brilliantly gave shape to the ever-present, low-level hum of anxiety that permeates modern living. He showed us that technology had made it too easy to care about the wrong things, that our culture had convinced us that the world owed us something when it didn’t—and worst of all, that our modern and maddening urge to always find happiness only served to make us unhappier. Instead, the “subtle art” of that title turned out to be a bold challenge: to choose your struggle; to narrow and focus and find the pain you want to sustain. The result was a book that became an international phenomenon, selling millions of copies worldwide while becoming the #1 bestseller in 13 different countries.

Now, in Everthing Is F*cked, Manson turns his gaze from the inevitable flaws within each individual self to the endless calamities taking place in the world around us. Drawing from the pool of psychological research on these topics, as well as the timeless wisdom of philosophers such as Plato, Nietzsche, and Tom Waits, he dissects religion and politics and the uncomfortable ways they have come to resemble one another. He looks at our relationships with money, entertainment and the internet, and how too much of a good thing can psychologically eat us alive. He openly defies our definitions of faith, happiness, freedom—and even of hope itself.

With his usual mix of erudition and where-the-f*ck-did-that-come-from humor, Manson takes us by the collar and challenges us to be more honest with ourselves and connected with the world in ways we probably haven’t considered before. It’s another counterintuitive romp through the pain in our hearts and the stress of our soul. One of the great modern writers has produced another book that will set the agenda for years to come. (less)",self-help
51,Influence: The Psychology of Persuasion,4.2,Robert B. Cialdini,"1,32,501","4,780","2,004 followers","Influence, the classic book on persuasion, explains the psychology of why people say ""yes""—and how to apply these understandings. Dr. Robert Cialdini is the seminal expert in the rapidly expanding field of influence and persuasion. His thirty-five years of rigorous, evidence-based research along with a three-year program of study on what moves people to change behavior has resulted in this highly acclaimed book.

You'll learn the six universal principles, how to use them to become a skilled persuader—and how to defend yourself against them. Perfect for people in all walks of life, the principles of Influence will move you toward profound personal change and act as a driving force for your success. (less)",self-help
52,The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,4.15,Ryan Holiday,"63,031","4,230","11,172 followers","“The impediment to action advances action. What stands in the way becomes the way.” — Marcus Aurelius

We are stuck, stymied, frustrated. But it needn’t be this way. There is a formula for success that’s been followed by the icons of history—from John D. Rockefeller to Amelia Earhart to Ulysses S. Grant to Steve Jobs—a formula that let them turn obstacles into opportunities. Faced with impossible situations, they found the astounding triumphs we all seek.

These men and women were not exceptionally brilliant, lucky, or gifted. Their success came from timeless philosophical principles laid down by a Roman emperor who struggled to articulate a method for excellence in any and all situations.

This book reveals that formula for the first time—and shows us how we can turn our own adversity into advantage. (less)",self-help
53,Emotional Intelligence: Why It Can Matter More Than IQ,4.03,Daniel Goleman,"1,04,615","3,732","4,317 followers","Everyone knows that high IQ is no guarantee of success, happiness, or virtue, but until Emotional Intelligence, we could only guess why. Daniel Goleman's brilliant report from the frontiers of psychology and neuroscience offers startling new insight into our ""two minds""—the rational and the emotional—and how they together shape our destiny.

Through vivid examples, Goleman delineates the five crucial skills of emotional intelligence, and shows how they determine our success in relationships, work, and even our physical well-being. What emerges is an entirely new way to talk about being smart.

The best news is that ""emotional literacy"" is not fixed early in life. Every parent, every teacher, every business leader, and everyone interested in a more civil society, has a stake in this compelling vision of human possibility.


From the Trade Paperback edition. (less)",self-help
54,The Power of Your Subconscious Mind,4.09,Joseph Murphy,"63,355","4,189","1,486 followers","The Power of Your Subconscious Mind has been a bestseller since its first publication in 1963, selling many millions of copies since its original publication. It is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. The techniques are simple and results come quickly. You can improve your relationships, your finances, your physical well-being.
Dr. Joseph Murphy explains that life events are actually the result of the workings of your conscious and subconscious minds. He suggests practical techniques through which one can change one's destiny, principally by focusing and redirecting this miraculous energy. Years of research studying the world's major religions convinced him that some Great Power lay behind all spiritual life and that this power is within each of us.
The Power of Your Subconscious Mind will open a world of success, happiness, prosperity, and peace for you.
(less)",self-help
55,Never Split the Difference: Negotiating As If Your Life Depended On It,4.37,Chris Voss,"1,12,431","7,350","1,232 followers","A former FBI hostage negotiator offers a new, field-tested approach to negotiating – effective in any situation.

After a stint policing the rough streets of Kansas City, Missouri, Chris Voss joined the FBI, where his career as a kidnapping negotiator brought him face-to-face with bank robbers, gang leaders and terrorists. Never Split the Difference takes you inside his world of high-stakes negotiations, revealing the nine key principles that helped Voss and his colleagues succeed when it mattered the most – when people’s lives were at stake.

Rooted in the real-life experiences of an intelligence professional at the top of his game, Never Split the Difference will give you the competitive edge in any discussion. (less)",self-help
56,The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,4.11,Meg Jay,"54,506","4,958",283 followers,"Our ""thirty-is-the-new-twenty"" culture tells us that the twentysomething years don't matter. Some say they are an extended adolescence. Others call them an emerging adulthood. But thirty is not the new twenty. In this enlightening book, Dr. Meg Jay reveals how many twentysomethings have been caught in a swirl of hype and misinformation that has trivialized what are actually the most defining years of adulthood. Drawing from more than ten years of work with hundreds of twentysomething clients and students, Dr. Jay weaves the science of the twentysomething years with compelling, behind-closed-doors stories from twentysomethings themselves. She shares what psychologists, sociologists, neurologists, reproductive specialists, human resources executives, and economists know about the unique power of our twenties and how they change our lives. The result is a provocative and sometimes poignant read that shows us why our twenties do matter. Our twenties are a time when the things we do--and the things we don't do--will have an enormous effect across years and even generations to come. (less)",self-help
57,As a Man Thinketh,4.25,James Allen,"72,814","4,500",901 followers,"The mind guides our footsteps as we progress along the pathway of life.

Purity of mind leads inevitably to purity of life, to the precious love and understanding that should control our everyday acts and attitudes towards friends and foes.

But where must one look for guidance? How does one achieve purity of mind that alone brings happiness and confidence?

The author offers his clear answers in this book As A Man Thinketh. His words have helped millions for more than a century--and they continue to point the true way to a better life for a troubled humanity.

""Out of a clean heart comes a clean life and a clean body,"" James Allen writes. ""Out of a defiled mind proceeds a defiled life and a corrupt body.""

Too many mortals strive to improve only their wordly position--and too few seek spiritual betterment. Such is the problem James Allen faced in his own time. The ideas he found in his inner-most heart after great searching guided him as they will guide you. (less)",self-help
58,Ego Is the Enemy,4.13,Ryan Holiday,"55,442","3,778","11,171 followers","“While the history books are filled with tales of obsessive, visionary geniuses who remade the world in their image with sheer, almost irrational force, I’ve found that history is also made by individuals who fought their egos at every turn, who eschewed the spotlight, and who put their higher goals above their desire for recognition.” – from the Prologue

Many of us insist the main impediment to a full, successful life is the outside world. In fact, the most common enemy lies within: our ego. Early in our careers, it impedes learning and the cultivation of talent. With success, it can blind us to our faults and sow future problems. In failure, it magnifies each blow and makes recovery more difficult. At every stage, ego holds us back.

The Ego is the Enemy draws on a vast array of stories and examples, from literature to philosophy to history. We meet fascinating figures like Howard Hughes, Katharine Graham, Bill Belichick, and Eleanor Roosevelt, all of whom reached the highest levels of power and success by conquering their own egos. Their strategies and tactics can be ours as well.

But why should we bother fighting ego in an era that glorifies social media, reality TV, and other forms of shameless self-promotion?  Armed with the lessons in this book, as Holiday writes, “you will be less invested in the story you tell about your own specialness, and as a result, you will be liberated to accomplish the world-changing work you’ve set out to achieve.” (less)",self-help
59,Start with Why: How Great Leaders Inspire Everyone to Take Action,4.1,Simon Sinek,"1,78,123","8,391","8,737 followers","Why do you do what you do?

Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty from customers and employees alike? Even among the successful, why are so few able to repeat their success over and over?

People like Martin Luther King Jr., Steve Jobs, and the Wright Brothers might have little in common, but they all started with why. It was their natural ability to start with why that enabled them to inspire those around them and to achieve remarkable things.

In studying the leaders who've had the greatest influence in the world, Simon Sinek discovered that they all think, act, and communicate in the exact same way—and it's the complete opposite of what everyone else does. Sinek calls this powerful idea The Golden Circle, and it provides a framework upon which organizations can be built, movements can be lead, and people can be inspired. And it all starts with WHY.

Any organization can explain what it does; some can explain how they do it; but very few can clearly articulate why. WHY is not money or profit—those are always results. WHY does your organization exist? WHY does it do the things it does? WHY do customers really buy from one company or another? WHY are people loyal to some leaders, but not others?

Starting with WHY works in big business and small business, in the nonprofit world and in politics. Those who start with WHY never manipulate, they inspire. And the people who follow them don't do so because they have to; they follow because they want to.

Drawing on a wide range of real-life stories, Sinek weaves together a clear vision of what it truly takes to lead and inspire. This book is for anyone who wants to inspire others or who wants to find someone to inspire them. (less)",self-help
